# btc	count	prob
0.000412286	11	0.0011
0.000414577	1	0.0001
0.00041474	1	0.0001
0.000417221	1	0.0001
0.000419158	1	0.0001
0.000419643	1	0.0001
0.00042243	1	0.0001
0.000422683	1	0.0001
0.000423411	1	0.0001
0.000424884	1	0.0001
0.000427747	1	0.0001
0.000427992	1	0.0001
0.000429465	4	0.0004
0.000429465	1	0.0001
0.000431428	1	0.0001
0.000434618	1	0.0001
0.000438054	2	0.0002
0.000438299	1	0.0001
0.000439772	1	0.0001
0.00044083	1	0.0001
0.000441081	1	0.0001
0.00044149	1	0.0001
0.000441735	2	0.0002
0.000443208	3	0.0003
0.000444925	2	0.0002
0.000446643	5	0.0005
0.000446888	1	0.0001
0.000450183	1	0.0001
0.000450324	1	0.0001
0.000450495	1	0.0001
0.000452042	1	0.0001
0.000453515	1	0.0001
0.000453515	2	0.0002
0.000453665	1	0.0001
0.00045695	1	0.0001
0.000457592	1	0.0001
0.000458914	1	0.0001
0.000460386	1	0.0001
0.000461531	1	0.0001
0.000462922	1	0.0001
0.000463454	1	0.0001
0.000463822	2	0.0002
0.00046464	1	0.0001
0.000465785	1	0.0001
0.000470693	2	0.0002
0.000470783	1	0.0001
0.000472255	1	0.0001
0.000472657	1	0.0001
0.000475683	1	0.0001
0.00047578	1	0.0001
0.000476092	2	0.0002
0.000477565	1	0.0001
0.000479855	1	0.0001
0.000480398	1	0.0001
0.000481	4	0.0004
0.000481	2	0.0002
0.000481246	1	0.0001
0.000482718	1	0.0001
0.000482964	1	0.0001
0.000484682	1	0.0001
0.000485009	1	0.0001
0.000486727	2	0.0002
0.000487872	1	0.0001
0.000488363	1	0.0001
0.000490653	1	0.0001
0.000501704	1	0.0001
0.000502187	1	0.0001
0.000502883	1	0.0001
0.000504151	1	0.0001
0.000505051	1	0.0001
0.000506768	1	0.0001
0.000509059	2	0.0002
0.00051004	1	0.0001
0.000512955	1	0.0001
0.00051364	1	0.0001
0.000515358	1	0.0001
0.000515358	4	0.0004
0.000515603	1	0.0001
0.000515692	1	0.0001
0.000517321	1	0.0001
0.00052066	1	0.0001
0.000521002	1	0.0001
0.000522229	1	0.0001
0.000522229	1	0.0001
0.00052452	1	0.0001
0.00052712	1	0.0001
0.000527955	1	0.0001
0.000529101	1	0.0001
0.000530818	1	0.0001
0.000531309	2	0.0002
0.000532019	1	0.0001
0.000532536	2	0.0002
0.000533354	1	0.0001
